x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity w_z (dv/dx - du/dy) [S];|Vorticity| [S];Divergence 2D (du/dx + dv/dy) [S];Swirling strength 2D (L_ci) [S^2];Correlation value [];Particle size [counts];Peak ratio [];Uncertainty V [pixel];Uncertainty Vx [pixel];Uncertainty Vy [pixel];Uncertainty |V| [pixel]
1704;8;-0.943564;0.127076;0.952083;-0.00262561;-0.00458958;-0.00375485;0.00375224;0.000834726;0.000834726;0.00112663;0;0;1.0788;0;0;0;0;0
1720;8;-0.989921;0.0631637;0.991934;-0.00230204;-0.000825822;-0.00389063;0.00312824;-0.0030648;0.0030648;0.000826202;0;0;1.07191;0;0;0;0;0
1736;8;-1.01741;0.00243227;1.01741;-0.00207801;0.00208902;-0.00408513;0.00796344;-0.00617414;0.00617414;0.00588543;0;0;1.18312;0;0;0;0;0
1752;8;-1.06187;-0.0686225;1.06408;-0.00335464;-0.00702341;-0.00464103;0.0125076;0.00238238;0.00238238;0.00915297;0;0;1.13594;0;0;0;0;0
1768;8;-1.12015;-0.142869;1.12922;-0.00336594;-0.0081294;-0.00441667;0.015532;0.00371274;0.00371274;0.0121661;0;0;1.06587;0;0;0;0;0
1784;8;-1.16775;-0.20817;1.18616;-0.00311267;0.00140946;-0.00379479;0.022184;-0.00520426;0.00520426;0.0190714;0;0;1.08024;0;0;0;0;0
1800;8;-1.21824;-0.265949;1.24693;-0.0025014;-0.00138739;-0.00357405;0.0192283;-0.00218666;0.00218666;0.0167269;0;0;1.20099;0;0;0;0;0
1816;8;-1.24896;-0.324664;1.29047;-0.00211076;-0.00738639;-0.00402067;0.0148136;0.00336572;0.00336572;0.0127029;0;0;1.21236;0;0;0;0;0
1832;8;-1.28956;-0.388598;1.34683;-0.00291866;0.00372671;-0.00309316;0.0127403;-0.00681987;0.00681987;0.00982166;0;0;1.20694;0;0;0;0;0
1848;8;-1.33303;-0.417391;1.39685;-0.00152766;0.0321669;-0.000533584;0.0201058;-0.0327005;0.0327005;0.0185782;0;0;1.10152;0;0;0;0;0
1864;8;-1.33043;-0.413886;1.39332;0.00165926;0.0307496;0.000350329;0.014032;-0.0303993;0.0303993;0.0156912;0;0;1.29735;0;0;0;0;0
1880;8;-1.28266;-0.424515;1.35109;0.00393369;0.0187677;-0.0031905;-0.0059411;-0.0219582;0.0219582;-0.00200741;3.55004e-05;0;1.29647;0;0;0;0;0
1896;8;-1.20517;-0.512847;1.30975;0.00641839;0.0144079;-0.0060565;0.00017703;-0.0204644;0.0204644;0.00659542;7.75229e-05;0;1.28389;0;0;0;0;0
1912;8;-1.08624;-0.59651;1.23925;0.00692695;0.00454785;-0.00358864;0.0100449;-0.00813649;0.00813649;0.0169719;1.38902e-05;0;1.24621;0;0;0;0;0
1928;8;-0.991362;-0.626997;1.173;0.00517446;-0.00231585;-0.000844289;0.010721;0.00147156;0.00147156;0.0158954;0;0;1.2148;0;0;0;0;0
1944;8;-0.90214;-0.648695;1.11115;0.00874083;0.0046646;-0.00458958;-0.00238584;-0.00925418;0.00925418;0.00635499;0;0;1.15324;0;0;0;0;0
1960;8;-0.72587;-0.768222;1.05691;0.00885565;-0.00154732;-0.0067584;0.0011231;-0.00521107;0.00521107;0.00997875;0;0;1.06282;0;0;0;0;0
1976;8;-0.640546;-0.845112;1.06043;0.00373112;-0.00675166;-0.00427829;0.00396197;0.00247338;0.00247338;0.00769309;0;0;1.11083;0;0;0;0;0
1992;8;-0.598898;-0.900728;1.08166;0.0010247;-0.00366247;-0.00112977;0.00509082;0.0025327;0.0025327;0.00611551;0;0;0.925959;0;0;0;0;0
2008;8;-0.602734;-0.887308;1.07266;-0.00108551;0.0199237;0.000954824;-0.0148541;-0.0189688;0.0189688;-0.0159396;0;0;1.01638;0;0;0;0;0
2024;8;-0.620114;-0.888873;1.08381;-0.00011717;0.0247761;-0.00157781;0.000597537;-0.0263539;0.0263539;0.000480366;3.89643e-05;0;1.09979;0;0;0;0;0
2040;8;-0.601861;-0.933601;1.11079;0.00205655;0.025229;-0.00298635;0.00790548;-0.0282154;0.0282154;0.00996203;6.67901e-05;0;1.0864;0;0;0;0;0
2056;8;-0.569416;-0.968128;1.12317;0.00023723;0.0120893;-0.000443374;0.00883054;-0.0125327;0.0125327;0.00906777;0;0;0.961699;0;0;0;0;0
2072;8;-0.592002;-0.947968;1.11764;-0.00102007;0.00635159;0.00188963;-0.00344151;-0.00446196;0.00446196;-0.00446158;0;0;1.12698;0;0;0;0;0
2088;8;-0.58679;-0.91868;1.09009;0.00150388;0.0171725;0.00162684;-0.00178664;-0.0155457;0.0155457;-0.000282758;0;0;1.01649;0;0;0;0;0
2104;8;-0.545;-0.900826;1.05286;0.00342067;0.00834832;0.000414397;-0.00341333;-0.00793392;0.00793392;7.33999e-06;0;0;1.05501;0;0;0;0;0
2120;8;-0.482152;-0.903348;1.02397;0.00436275;-0.00986831;-0.000226237;-0.00281638;0.00964207;0.00964207;0.00154637;0;0;1.16703;0;0;0;0;0
2136;8;-0.411666;-0.904876;0.994117;0.00385043;-0.0112827;-9.94994e-05;-0.00528033;0.0111832;0.0111832;-0.0014299;0;0;0.880408;0;0;0;0;0
2152;8;-0.35776;-0.907642;0.975605;0.00367288;0.00659608;-0.000323932;-0.0129818;-0.00692002;0.00692002;-0.00930888;0;0;1.1334;0;0;0;0;0
2168;8;-0.28915;-0.916071;0.960621;0.00489236;0.00778789;-0.000800164;-0.0127321;-0.00858806;0.00858806;-0.0078397;0;0;1.19362;0;0;0;0;0
2184;8;-0.207218;-0.930711;0.9535;0.00470273;-0.000744868;-0.000745387;-0.0106219;-5.18747e-07;5.18747e-07;-0.00591916;0;0;1.07209;0;0;0;0;0
2200;8;-0.146659;-0.935795;0.947217;0.00263555;-0.0055121;0.000304033;-0.00967035;0.00581613;0.00581613;-0.00703479;0;0;0.896791;0;0;0;0;0
2216;8;-0.120757;-0.922319;0.930191;0.00114862;0.000905766;0.000946858;-0.00929339;4.10921e-05;4.10921e-05;-0.00814477;0;0;0.995494;0;0;0;0;0
2232;8;-0.10349;-0.907314;0.913197;0.00115263;0.00348111;0.00116808;-0.00661598;-0.00231303;0.00231303;-0.00546335;0;0;1.13135;0;0;0;0;0
2248;8;-0.0824052;-0.884662;0.888492;0.00140464;0.000509388;0.00156349;-0.00563712;0.0010541;0.0010541;-0.00423248;0;0;1.23832;0;0;0;0;0
2264;8;-0.0611501;-0.858807;0.860981;0.000956653;-0.00189997;0.0015824;-0.00988156;0.00348237;0.00348237;-0.00892491;0;0;1.21119;0;0;0;0;0
2280;8;-0.051725;-0.834457;0.836058;0.000458155;-0.00255195;0.00155371;-0.00765062;0.00410566;0.00410566;-0.00719247;0;0;1.42989;0;0;0;0;0
2296;8;-0.0417265;-0.809494;0.810568;0.00106677;4.32781e-05;0.0014672;0.00111404;0.00142392;0.00142392;0.00218081;0;0;1.43031;0;0;0;0;0
2312;8;-0.0149818;-0.788467;0.788609;0.0022623;-0.00103198;0.00110011;0.00110631;0.00213209;0.00213209;0.00336861;8.01214e-07;0;1.07357;0;0;0;0;0
2328;8;0.0279753;-0.77259;0.773096;0.00285535;-0.008617;0.00102025;-0.00241444;0.00963726;0.00963726;0.000440908;1.84885e-06;0;0.896808;0;0;0;0;0
